item_id,target_id,reviewer_name,reviewer_role,classification,confidence,comments,time_spent_seconds
STAR-001,KIC3863594,Industry_Professional,Industry_Professional,False_Positive,3,Interesting target.,15
STAR-002,KIC10417986,Industry_Professional,Industry_Professional,False_Positive,4,Would classify with caution.,39
STAR-003,KIC8912468,Industry_Professional,Industry_Professional,Eclipsing_Binary,5,Operationally looks like a binary.,20
STAR-004,KIC8758716,Industry_Professional,Industry_Professional,False_Positive,4,,64
STAR-005,KIC10855535,Industry_Professional,Industry_Professional,False_Positive,4,Interesting target.,69
STAR-006,KIC9472174,Industry_Professional,Industry_Professional,False_Positive,2,Interesting target.,49
STAR-007,KIC9612468,Industry_Professional,Industry_Professional,False_Positive,2,,40
STAR-008,KIC6613627,Industry_Professional,Industry_Professional,False_Positive,2,,46
STAR-009,KIC5302006,Industry_Professional,Industry_Professional,False_Positive,5,,34
STAR-010,KIC9898401,Industry_Professional,Industry_Professional,False_Positive,1,,61
STAR-011,KIC7375612,Industry_Professional,Industry_Professional,False_Positive,3,,65
STAR-012,KIC5872696,Industry_Professional,Industry_Professional,False_Positive,2,,36
STAR-013,KIC7767774,Industry_Professional,Industry_Professional,False_Positive,2,,22
STAR-014,KIC12350008,Industry_Professional,Industry_Professional,False_Positive,1,,25
STAR-015,KIC10684673,Industry_Professional,Industry_Professional,False_Positive,2,,18
STAR-016,KIC9532219,Industry_Professional,Industry_Professional,False_Positive,5,,18
STAR-017,KIC6699679,Industry_Professional,Industry_Professional,Eclipsing_Binary,1,,17
STAR-018,KIC6287172,Industry_Professional,Industry_Professional,False_Positive,4,,54
STAR-019,KIC11825204,Industry_Professional,Industry_Professional,False_Positive,4,,15
STAR-020,KIC4921906,Industry_Professional,Industry_Professional,False_Positive,3,Operationally looks like a binary.,27
STAR-021,KIC6387887,Industry_Professional,Industry_Professional,Eclipsing_Binary,4,Would classify with caution.,39
STAR-022,KIC8288741,Industry_Professional,Industry_Professional,Eclipsing_Binary,4,,65
STAR-023,KIC12055255,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,Would classify with caution.,64
STAR-024,KIC11013201,Industry_Professional,Industry_Professional,Eclipsing_Binary,5,Would classify with caution.,17
STAR-025,KIC8108785,Industry_Professional,Industry_Professional,Eclipsing_Binary,4,,42
STAR-026,KIC1572353,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,,21
STAR-027,KIC10288502,Industry_Professional,Industry_Professional,Eclipsing_Binary,4,,43
STAR-028,KIC10453521,Industry_Professional,Industry_Professional,False_Positive,4,,46
STAR-029,KIC9238207,Industry_Professional,Industry_Professional,Eclipsing_Binary,1,,32
STAR-030,KIC5166136,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,,51
STAR-031,KIC8555795,Industry_Professional,Industry_Professional,Eclipsing_Binary,5,,66
STAR-032,KIC6144827,Industry_Professional,Industry_Professional,Eclipsing_Binary,2,Would classify with caution.,46
STAR-033,KIC10030943,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,,35
STAR-034,KIC10965091,Industry_Professional,Industry_Professional,Eclipsing_Binary,1,Interesting target.,70
STAR-035,KIC2715417,Industry_Professional,Industry_Professional,Eclipsing_Binary,1,,70
STAR-036,KIC11413213,Industry_Professional,Industry_Professional,Eclipsing_Binary,5,,40
STAR-037,KIC9077796,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,Operationally looks like a binary.,17
STAR-038,KIC6050116,Industry_Professional,Industry_Professional,Eclipsing_Binary,4,Operationally looks like a binary.,23
STAR-039,KIC12458797,Industry_Professional,Industry_Professional,False_Positive,2,Operationally looks like a binary.,52
STAR-040,KIC6350020,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,,46
STAR-041,KIC7198474,Industry_Professional,Industry_Professional,Eclipsing_Binary,5,,65
STAR-042,KIC7546791,Industry_Professional,Industry_Professional,Eclipsing_Binary,2,Would classify with caution.,67
STAR-043,KIC7871200,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,,61
STAR-044,KIC7959612,Industry_Professional,Industry_Professional,Eclipsing_Binary,1,,67
STAR-045,KIC3972629,Industry_Professional,Industry_Professional,Eclipsing_Binary,2,,33
STAR-046,KIC9345163,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,,35
STAR-047,KIC8816790,Industry_Professional,Industry_Professional,Eclipsing_Binary,1,Operationally looks like a binary.,52
STAR-048,KIC12216817,Industry_Professional,Industry_Professional,Eclipsing_Binary,4,,16
STAR-049,KIC11494583,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,,56
STAR-050,KIC4738426,Industry_Professional,Industry_Professional,Eclipsing_Binary,5,,59
STAR-051,KIC2856960,Industry_Professional,Industry_Professional,Eclipsing_Binary,2,,30
STAR-052,KIC4150611,Industry_Professional,Industry_Professional,Multi_Star,5,,18
STAR-053,KIC6387887,Industry_Professional,Industry_Professional,Unknown,5,Operationally looks like a binary.,29
STAR-054,KIC11013201,Industry_Professional,Industry_Professional,Unknown,3,,65
STAR-055,KIC10453521,Industry_Professional,Industry_Professional,Eclipsing_Binary,3,,62
