item_id,target_id,reviewer_name,reviewer_role,classification,confidence,comments,time_spent_seconds
STAR-001,KIC3863594,Professor_A,Research_Professor,False_Positive,5,Would like additional observations.,38
STAR-002,KIC10417986,Professor_A,Research_Professor,Eclipsing_Binary,5,,78
STAR-003,KIC8912468,Professor_A,Research_Professor,False_Positive,5,,81
STAR-004,KIC8758716,Professor_A,Research_Professor,False_Positive,5,,39
STAR-005,KIC10855535,Professor_A,Research_Professor,False_Positive,3,,26
STAR-006,KIC9472174,Professor_A,Research_Professor,False_Positive,5,,65
STAR-007,KIC9612468,Professor_A,Research_Professor,False_Positive,4,,70
STAR-008,KIC6613627,Professor_A,Research_Professor,False_Positive,5,Would like additional observations.,34
STAR-009,KIC5302006,Professor_A,Research_Professor,False_Positive,3,Would like additional observations.,93
STAR-010,KIC9898401,Professor_A,Research_Professor,False_Positive,4,,64
STAR-011,KIC7375612,Professor_A,Research_Professor,False_Positive,5,,71
STAR-012,KIC5872696,Professor_A,Research_Professor,False_Positive,3,Classification uncertain.,95
STAR-013,KIC7767774,Professor_A,Research_Professor,False_Positive,3,Classification uncertain.,89
STAR-014,KIC12350008,Professor_A,Research_Professor,False_Positive,5,,75
STAR-015,KIC10684673,Professor_A,Research_Professor,Eclipsing_Binary,4,Classification uncertain.,86
STAR-016,KIC9532219,Professor_A,Research_Professor,False_Positive,3,,53
STAR-017,KIC6699679,Professor_A,Research_Professor,False_Positive,3,Would like additional observations.,38
STAR-018,KIC6287172,Professor_A,Research_Professor,False_Positive,4,,43
STAR-019,KIC11825204,Professor_A,Research_Professor,False_Positive,3,,83
STAR-020,KIC4921906,Professor_A,Research_Professor,False_Positive,5,Would like additional observations.,57
STAR-021,KIC6387887,Professor_A,Research_Professor,Eclipsing_Binary,5,Light curve appears consistent with eclipses.,95
STAR-022,KIC8288741,Professor_A,Research_Professor,Eclipsing_Binary,5,,76
STAR-023,KIC12055255,Professor_A,Research_Professor,Eclipsing_Binary,4,Light curve appears consistent with eclipses.,26
STAR-024,KIC11013201,Professor_A,Research_Professor,Eclipsing_Binary,5,,83
STAR-025,KIC8108785,Professor_A,Research_Professor,Eclipsing_Binary,4,,50
STAR-026,KIC1572353,Professor_A,Research_Professor,Eclipsing_Binary,4,,90
STAR-027,KIC10288502,Professor_A,Research_Professor,Eclipsing_Binary,4,Classification uncertain.,29
STAR-028,KIC10453521,Professor_A,Research_Professor,Eclipsing_Binary,4,,37
STAR-029,KIC9238207,Professor_A,Research_Professor,Eclipsing_Binary,5,Would like additional observations.,58
STAR-030,KIC5166136,Professor_A,Research_Professor,Eclipsing_Binary,3,Classification uncertain.,86
STAR-031,KIC8555795,Professor_A,Research_Professor,False_Positive,5,Light curve appears consistent with eclipses.,88
STAR-032,KIC6144827,Professor_A,Research_Professor,Eclipsing_Binary,3,Classification uncertain.,43
STAR-033,KIC10030943,Professor_A,Research_Professor,Eclipsing_Binary,3,,25
STAR-034,KIC10965091,Professor_A,Research_Professor,Eclipsing_Binary,5,,50
STAR-035,KIC2715417,Professor_A,Research_Professor,Eclipsing_Binary,5,,94
STAR-036,KIC11413213,Professor_A,Research_Professor,False_Positive,5,,44
STAR-037,KIC9077796,Professor_A,Research_Professor,Eclipsing_Binary,5,,87
STAR-038,KIC6050116,Professor_A,Research_Professor,Eclipsing_Binary,3,Would like additional observations.,53
STAR-039,KIC12458797,Professor_A,Research_Professor,Eclipsing_Binary,3,,89
STAR-040,KIC6350020,Professor_A,Research_Professor,Eclipsing_Binary,4,,42
STAR-041,KIC7198474,Professor_A,Research_Professor,Eclipsing_Binary,5,Light curve appears consistent with eclipses.,89
STAR-042,KIC7546791,Professor_A,Research_Professor,Eclipsing_Binary,3,Would like additional observations.,50
STAR-043,KIC7871200,Professor_A,Research_Professor,Eclipsing_Binary,3,Classification uncertain.,34
STAR-044,KIC7959612,Professor_A,Research_Professor,Eclipsing_Binary,4,,28
STAR-045,KIC3972629,Professor_A,Research_Professor,Eclipsing_Binary,4,,63
STAR-046,KIC9345163,Professor_A,Research_Professor,Eclipsing_Binary,3,,84
STAR-047,KIC8816790,Professor_A,Research_Professor,Eclipsing_Binary,3,,91
STAR-048,KIC12216817,Professor_A,Research_Professor,Eclipsing_Binary,5,,83
STAR-049,KIC11494583,Professor_A,Research_Professor,Eclipsing_Binary,5,,95
STAR-050,KIC4738426,Professor_A,Research_Professor,Eclipsing_Binary,3,,30
STAR-051,KIC2856960,Professor_A,Research_Professor,Triple_System,5,Would like additional observations.,31
STAR-052,KIC4150611,Professor_A,Research_Professor,Multi_Star,4,Possible harmonic contamination.,86
STAR-053,KIC6387887,Professor_A,Research_Professor,Unknown,3,Would like additional observations.,52
STAR-054,KIC11013201,Professor_A,Research_Professor,Unknown,3,,74
STAR-055,KIC10453521,Professor_A,Research_Professor,Eclipsing_Binary,4,Would like additional observations.,78
