item_id,target_id,reviewer_name,reviewer_role,classification,confidence,comments,time_spent_seconds
STAR-001,KIC3863594,Professor_B,Research_Professor,False_Positive,5,,31
STAR-002,KIC10417986,Professor_B,Research_Professor,False_Positive,5,,81
STAR-003,KIC8912468,Professor_B,Research_Professor,False_Positive,3,,66
STAR-004,KIC8758716,Professor_B,Research_Professor,False_Positive,2,Would benefit from additional review.,68
STAR-005,KIC10855535,Professor_B,Research_Professor,False_Positive,4,,94
STAR-006,KIC9472174,Professor_B,Research_Professor,False_Positive,4,Would benefit from additional review.,58
STAR-007,KIC9612468,Professor_B,Research_Professor,False_Positive,5,,89
STAR-008,KIC6613627,Professor_B,Research_Professor,False_Positive,4,Interesting candidate.,45
STAR-009,KIC5302006,Professor_B,Research_Professor,False_Positive,3,,71
STAR-010,KIC9898401,Professor_B,Research_Professor,False_Positive,2,,83
STAR-011,KIC7375612,Professor_B,Research_Professor,False_Positive,2,,64
STAR-012,KIC5872696,Professor_B,Research_Professor,False_Positive,2,Interesting candidate.,101
STAR-013,KIC7767774,Professor_B,Research_Professor,False_Positive,5,,92
STAR-014,KIC12350008,Professor_B,Research_Professor,False_Positive,2,,68
STAR-015,KIC10684673,Professor_B,Research_Professor,False_Positive,2,,33
STAR-016,KIC9532219,Professor_B,Research_Professor,False_Positive,2,Interesting candidate.,46
STAR-017,KIC6699679,Professor_B,Research_Professor,False_Positive,2,,33
STAR-018,KIC6287172,Professor_B,Research_Professor,False_Positive,4,Would benefit from additional review.,95
STAR-019,KIC11825204,Professor_B,Research_Professor,False_Positive,5,Signal interpretation not definitive.,89
STAR-020,KIC4921906,Professor_B,Research_Professor,False_Positive,5,Signal interpretation not definitive.,53
STAR-021,KIC6387887,Professor_B,Research_Professor,Unknown,3,Interesting candidate.,33
STAR-022,KIC8288741,Professor_B,Research_Professor,Eclipsing_Binary,4,Interesting candidate.,101
STAR-023,KIC12055255,Professor_B,Research_Professor,Eclipsing_Binary,4,Possible variable star contamination.,42
STAR-024,KIC11013201,Professor_B,Research_Professor,Eclipsing_Binary,4,Signal interpretation not definitive.,84
STAR-025,KIC8108785,Professor_B,Research_Professor,Eclipsing_Binary,4,Signal interpretation not definitive.,47
STAR-026,KIC1572353,Professor_B,Research_Professor,Unknown,4,Would benefit from additional review.,60
STAR-027,KIC10288502,Professor_B,Research_Professor,Unknown,2,Possible variable star contamination.,89
STAR-028,KIC10453521,Professor_B,Research_Professor,Eclipsing_Binary,4,,49
STAR-029,KIC9238207,Professor_B,Research_Professor,Eclipsing_Binary,4,Possible variable star contamination.,62
STAR-030,KIC5166136,Professor_B,Research_Professor,Eclipsing_Binary,3,Interesting candidate.,79
STAR-031,KIC8555795,Professor_B,Research_Professor,Eclipsing_Binary,4,,54
STAR-032,KIC6144827,Professor_B,Research_Professor,Eclipsing_Binary,2,Possible variable star contamination.,62
STAR-033,KIC10030943,Professor_B,Research_Professor,Eclipsing_Binary,2,Signal interpretation not definitive.,35
STAR-034,KIC10965091,Professor_B,Research_Professor,Eclipsing_Binary,3,,81
STAR-035,KIC2715417,Professor_B,Research_Professor,Eclipsing_Binary,3,,103
STAR-036,KIC11413213,Professor_B,Research_Professor,Eclipsing_Binary,5,,40
STAR-037,KIC9077796,Professor_B,Research_Professor,Eclipsing_Binary,5,,38
STAR-038,KIC6050116,Professor_B,Research_Professor,Eclipsing_Binary,5,,102
STAR-039,KIC12458797,Professor_B,Research_Professor,Eclipsing_Binary,3,,40
STAR-040,KIC6350020,Professor_B,Research_Professor,Eclipsing_Binary,4,,78
STAR-041,KIC7198474,Professor_B,Research_Professor,Eclipsing_Binary,3,,53
STAR-042,KIC7546791,Professor_B,Research_Professor,Eclipsing_Binary,5,,72
STAR-043,KIC7871200,Professor_B,Research_Professor,Eclipsing_Binary,4,,56
STAR-044,KIC7959612,Professor_B,Research_Professor,Eclipsing_Binary,3,,72
STAR-045,KIC3972629,Professor_B,Research_Professor,Eclipsing_Binary,3,Signal interpretation not definitive.,102
STAR-046,KIC9345163,Professor_B,Research_Professor,Eclipsing_Binary,3,Signal interpretation not definitive.,39
STAR-047,KIC8816790,Professor_B,Research_Professor,Eclipsing_Binary,2,Signal interpretation not definitive.,48
STAR-048,KIC12216817,Professor_B,Research_Professor,Eclipsing_Binary,5,Possible variable star contamination.,41
STAR-049,KIC11494583,Professor_B,Research_Professor,Eclipsing_Binary,4,,38
STAR-050,KIC4738426,Professor_B,Research_Professor,Eclipsing_Binary,3,Interesting candidate.,89
STAR-051,KIC2856960,Professor_B,Research_Professor,Triple_System,3,,104
STAR-052,KIC4150611,Professor_B,Research_Professor,Triple_System,4,Signal interpretation not definitive.,36
STAR-053,KIC6387887,Professor_B,Research_Professor,Eclipsing_Binary,3,,50
STAR-054,KIC11013201,Professor_B,Research_Professor,Eclipsing_Binary,3,,40
STAR-055,KIC10453521,Professor_B,Research_Professor,Unknown,2,,48
