item_id,target_id,ground_truth,category
STAR-001,KIC3863594,False_Positive,false_positive
STAR-002,KIC10417986,False_Positive,false_positive
STAR-003,KIC8912468,False_Positive,false_positive
STAR-004,KIC8758716,False_Positive,false_positive
STAR-005,KIC10855535,False_Positive,false_positive
STAR-006,KIC9472174,False_Positive,false_positive
STAR-007,KIC9612468,False_Positive,false_positive
STAR-008,KIC6613627,False_Positive,false_positive
STAR-009,KIC5302006,False_Positive,false_positive
STAR-010,KIC9898401,False_Positive,false_positive
STAR-011,KIC7375612,False_Positive,false_positive
STAR-012,KIC5872696,False_Positive,false_positive
STAR-013,KIC7767774,False_Positive,false_positive
STAR-014,KIC12350008,False_Positive,false_positive
STAR-015,KIC10684673,False_Positive,false_positive
STAR-016,KIC9532219,False_Positive,false_positive
STAR-017,KIC6699679,False_Positive,false_positive
STAR-018,KIC6287172,False_Positive,false_positive
STAR-019,KIC11825204,False_Positive,false_positive
STAR-020,KIC4921906,False_Positive,false_positive
STAR-021,KIC6387887,Eclipsing_Binary,binary
STAR-022,KIC8288741,Eclipsing_Binary,binary
STAR-023,KIC12055255,Eclipsing_Binary,binary
STAR-024,KIC11013201,Eclipsing_Binary,binary
STAR-025,KIC8108785,Eclipsing_Binary,binary
STAR-026,KIC1572353,Eclipsing_Binary,binary
STAR-027,KIC10288502,Eclipsing_Binary,binary
STAR-028,KIC10453521,Eclipsing_Binary,binary
STAR-029,KIC9238207,Eclipsing_Binary,binary
STAR-030,KIC5166136,Eclipsing_Binary,binary
STAR-031,KIC8555795,Eclipsing_Binary,binary
STAR-032,KIC6144827,Eclipsing_Binary,binary
STAR-033,KIC10030943,Eclipsing_Binary,binary
STAR-034,KIC10965091,Eclipsing_Binary,binary
STAR-035,KIC2715417,Eclipsing_Binary,binary
STAR-036,KIC11413213,Eclipsing_Binary,binary
STAR-037,KIC9077796,Eclipsing_Binary,binary
STAR-038,KIC6050116,Eclipsing_Binary,binary
STAR-039,KIC12458797,Eclipsing_Binary,binary
STAR-040,KIC6350020,Eclipsing_Binary,binary
STAR-041,KIC7198474,Eclipsing_Binary,binary
STAR-042,KIC7546791,Eclipsing_Binary,binary
STAR-043,KIC7871200,Eclipsing_Binary,binary
STAR-044,KIC7959612,Eclipsing_Binary,binary
STAR-045,KIC3972629,Eclipsing_Binary,binary
STAR-046,KIC9345163,Eclipsing_Binary,binary
STAR-047,KIC8816790,Eclipsing_Binary,binary
STAR-048,KIC12216817,Eclipsing_Binary,binary
STAR-049,KIC11494583,Eclipsing_Binary,binary
STAR-050,KIC4738426,Eclipsing_Binary,binary
STAR-051,KIC2856960,Triple_System,triple
STAR-052,KIC4150611,Multi_Star,multi_star
STAR-053,KIC6387887,Unknown,unknown
STAR-054,KIC11013201,Unknown,unknown
STAR-055,KIC10453521,Unknown,unknown
